timestamp,pic index,text,frame_path
2024-01-05 02:00:05,0/1381,"a gs@ | Image size: 10.2MB Timestamp: 064:1367 (2024-01-05-02:00:05 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 0/1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0000.jpg
2024-01-05 02:00:07,1/1381,"hom gs@ | Image size: 8.8MB Timestamp: 066:5729 (2024-01-05-02:00:07 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 1/1381 | L/R Keyframes:0/ 1381 | Shutter 116, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0051.jpg
2024-01-05 02:00:10,2/1381,"et gs@ | Image size: 8.7MB Timestamp: 069:2473 (2024-01-05-02:00:10 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 2/1381 | L/R Keyframes:0/ 1381 | Shutter 100, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0066.jpg
2024-01-05 02:00:12,3/1381,"— gs@ | Image size: 8.9MB Timestamp: 072-0133 (2024-01-05-02:00:12 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 3/1381 | L/R Keyframes: 0/1381 | Shutter 91, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0081.jpg
2024-01-05 02:00:15,4/1381,"as gs@ | Image size: 8.4MB Timestamp: 074:2332 (2024-01-05-02:00:15 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 4/1381 | L/R Keyframes: 0/1381 | Shutter 87, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0096.jpg
2024-01-05 02:00:16,5/1381,"cope gs@ | Image size: 8.4MB Timestamp: 075:7364 (2024-01-05-02:00:16 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 5/1381 | L/R Keyframes: 0/1381 | Shutter 84, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0108.jpg
2024-01-05 02:00:18,6/1381,"— gs@ | Image size: 8.3MB Timestamp: 077:2513 (2024-01-05-02:00:18 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 6 / 1381 | L/R Keyframes: 0/1381 | Shutter 83, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0120.jpg
2024-01-05 02:00:19,7/1381,"— gs@ | Image size: 8.4MB Timestamp: 078:5054 (2024-01-05-02:00:19 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 7 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0132.jpg
2024-01-05 02:00:20,8/1381,"— gs@ | Image size: 8.3MB Timestamp: 079:7451 (2024-01-05-02:00:20 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 8 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0144.jpg
2024-01-05 02:00:22,9/1381,"—_— gs@ | Image size: 8.1MB Timestamp: 081:2283 (2024-01-05-02:00:22 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 9/1381 | L/R Keyframes: 0/1381 | Shutter 81, Gain 0, Gamma 1.00",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0156.jpg
