timestamp,pic index,text,frame_path
2024-01-24 03:15:22,6029/12897,"Image size: 8.5MB Timestamp: 013:5828 (2024-01-24-03:15:22 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 6029 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0297.jpg
2024-01-24 03:15:23,6030/12897,"Image size: 8.4MB Timestamp: 014:5910 (2024-01-24-03:15:23 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 6030 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0317.jpg
2024-01-24 03:15:24,6031/12897,"Image size: 8.5MB Timestamp: 015:5992 (2024-01-24-03:15:24 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 6031 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0338.jpg
2024-01-24 03:15:24,,"Image size: 8.5MB Timestamp: 015:5992 (2024-01-24-03:15:24 UTC) GPS Timez 0. PPS: 0. Gankty:0 | No GPS positon | Conversion Rais: 0.3 fs: | ‘Current image: 6031 / 12897 | U/R Keyirames:0/ 12897 | Shutter 86, Gain 0. Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0348.jpg
2024-01-24 03:15:25,6032/12897,"Image size: 8.4MB Timestamp: 016:6074 (2024-01-24-03:15:25 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6032 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0357.jpg
2024-01-24 03:15:26,6033/12897,"Image size: 8.7MB Timestamp: 017:6155 (2024-01-24-03:15:26 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6033 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0374.jpg
2024-01-24 03:15:27,6034/12897,"Image size: 8.4MB Timestamp: 018:6238 (2024-01-24-03:15:27 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6034 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0392.jpg
2024-01-24 03:15:28,,Image size: 9.1MB Timestamp: 019:6320 (2024-01-24-03:15:28 UTC) GPS Tienes 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rain: 0:3.fne: | ‘Cureent Images 6035 712807 | UR Keyheees 07 12897 | Shetinr 86 Gann 0. Ganema 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0412.jpg
2024-01-24 03:15:28,6035/12897,"Image size: 9.1MB Timestamp: 019:6320 (2024-01-24-03:15:28 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6035 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0413.jpg
2024-01-24 03:15:29,6036/12897,"Image size: 9.1MB Timestamp: 020:6402 (2024-01-24-03:15:29 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6036 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0431.jpg
2024-01-24 03:15:30,,Image size: 8.8MB Timestamp: 021:6483 (2024-01-24-03:15:30 UTC) GPS Tieee 0. PPS: 0. Gimbty: 0 | No GPS podGon | ‘Conversion Rai 0:3.fne: | ‘Cureent Image: 6037 / 12807 | UR Keyleen 07 12897 | Shutior 86 Gan 0. Ganema 100 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0448.jpg
2024-01-24 03:15:31,6038/12897,"Image size: 9.0MB Timestamp: 022:6566 (2024-01-24-03:15:31 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6038 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0465.jpg
2024-01-24 03:15:32,6039/12897,"Image size: 9.1MB Timestamp: 023:6647 (2024-01-24-03:15:32 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6039 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0487.jpg
2024-01-24 03:15:33,6040/12897,"Image size: 9.0MB Timestamp: 024:6729 (2024-01-24-03:15:33 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.3 fps | Current Image: 6040 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0507.jpg
2024-01-24 03:15:34,6041/12897,"Image size: 9.0MB Timestamp: 025:6811 (2024-01-24-03:15:34 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6041 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0524.jpg
2024-01-24 03:15:35,6042/12897,"Image size: 8.5MB Timestamp: 026:6893 (2024-01-24-03:15:35 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6042 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0541.jpg
2024-01-24 03:15:35,,Image size: 8.5MB Timestamp: 026:6893 (2024-01-24-03:15:35 UTC) GPS Tinee 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rai 04 Gon: | ‘Cureent Images 6042 / 12807 | UR Keyleens 07 12897 | Shetior 86 Gan 0 Ganema 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0544.jpg
2024-01-24 03:15:36,6043/12897,"Image size: 8.5MB Timestamp: 027:6974 (2024-01-24-03:15:36 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6043 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0561.jpg
2024-01-24 03:15:36,,Image size: 8.5MB Timestamp: 027:6974 (2024-01-24-03:15:36 UTC) GPS Ties 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rai 06 Gon: | ‘Cureent Images 6043712807 | U/R Keyieens 07 12897 | Shutinr 86 Gann 0 Ganema 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0562.jpg
2024-01-24 03:15:37,6044/12897,"Image size: 8.3MB Timestamp: 028:7056 (2024-01-24-03:15:37 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6044 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0578.jpg
2024-01-24 03:15:38,,Image size: 8.2MB Timestamp: 029:7138 (2024-01-24-03:15:38 UTC) GPS Tienes 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rai 06 oe: | ‘Current Image 6045 712807 | U/R Keyless: 07 12897 | Shetinr 86 Gann 0. Ganema 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0595.jpg
2024-01-24 03:15:38,6045/12897,"Image size: 8.2MB Timestamp: 029:7138 (2024-01-24-03:15:38 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6045 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0596.jpg
2024-01-24 03:15:40,,"Image size: 8.2MB Timestamp: 030:7220 (2024-01-24-03:15:40 UTC) GPS Tiee 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rais 06 oe: | ‘Cureent Image 60467 12897 | UR Keyless 07 12897 | Shetinr 86, Gan 0. Ganema 1200 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0612.jpg
2024-01-24 03:15:40,6046/12897,"Image size: 8.2MB Timestamp: 030:7220 (2024-01-24-03:15:40 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6046 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0613.jpg
2024-01-24 03:15:41,,Image size: 8.2MB Timestamp: 031:7301 (2024-01-24-03:15:41 UTC) GPS Ties 0. PPS: 0. Gimity: 0 | No GPS poston | ‘Conversion Rais 06 Gon: | ‘Cureent Images 6047 / 12897 | UR Kevin 07 12897 | Shetinr 86 Gann 0. Ganema 1200 |,e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0631.jpg
2024-01-24 03:15:41,6047/12897,"Image size: 8.2MB Timestamp: 031:7301 (2024-01-24-03:15:41 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6047 / 12897 | L/R Keyframes: 0 / 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0632.jpg
2024-01-24 03:15:42,6048/12897,"Image size: 8.2MB Timestamp: 032:7384 (2024-01-24-03:15:42 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6048 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0651.jpg
2024-01-24 03:15:43,6049/12897,"Image size: 8.2MB Timestamp: 033:7465 (2024-01-24-03:15:43 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.6 fps | Current Image: 6049 / 12897 | L/R Keyframes:0/ 12897 | Shutter 86, Gain 0, Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0669.jpg
2024-01-24 03:15:44,,"Image size: 8.3MB Timestamp: 034:7547 (2024-01-24-03:15:44 UTC) (GPS Teme: 0, PPS: 0. Quality:0 | No GPS position | Conversion Rate: 1.3:fps: | ‘Current Image: 6050 / 12897 | UR Keyframes:0/ 12897 | Shutter 86, Gain 0. Gamma 1.00 |",e:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0686.jpg
