timestamp,pic index,text,frame_path
2024-01-05 02:00:39,17/1381,"a aeImage size: 9.4MB Timestamp: 098:1747 (2024-01-05-02:00:39 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 17 / 1381 | L/R Keyframes: 0/1381 | Shutter 92, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0239.jpg
2024-01-05 02:00:40,18/1381,"nag gs@ | Image size: 9.2MB Timestamp: 099:3311 (2024-01-05-02:00:40 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 18 / 1381 | L/R Keyframes: 0/1381 | Shutter 88, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0261.jpg
2024-01-05 02:00:41,19/1381,"—_— gs@ | Image size: 8.6MB Timestamp: 100:4142 (2024-01-05-02:00:41 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 19 / 1381 | L/R Keyframes: 0/1381 | Shutter 86, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0277.jpg
2024-01-05 02:00:42,20/1381,"a: gsImage size: 8AMB Timestamp: 101:4526 (2024-01-05-02:00:42 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 20/1381 | L/R Keyframes: 0/1381 | Shutter 84, Gain 0, Gamma 1.00@ i lit in fy hh",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0291.jpg
2024-01-05 02:00:43,21/1381,"_— gsImage size: 8.3MB Timestamp: 102:4592 (2024-01-05-02:00:43 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | ‘Conversion Rate: 0.0 fps | ‘Current Image: 21/1381 | L/R Keyframes: 0/1351 | Shutter 84, Gan 0, Gamma 1.00@ i lit in fy hh",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0304.jpg
2024-01-05 02:00:44,22/1381,"— gs@ | Image size: 8.2MB Timestamp: 103:4594 (2024-01-05-02:00:44 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 22 / 1381 | L/R Keyframes: 0/1381 | Shutter 84, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0316.jpg
2024-01-05 02:00:45,,"a, gsImage size: 8.2MB Timestamp: 104:4675 (2024-01-05-02:00:45 UTC) GPS Tee, PPS0 Quali 0 | No GPS postin: | ‘Conmeraion Rime: 00 Spe: | ‘Convent linge 23,7 1381 | 1 Kaylee /1381 | Shutter 83 Gan 0 Gane 1:00@ i lit in fy hh",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0329.jpg
2024-01-05 02:00:46,24/1381,"Pama: gs@ | Image size: 8.0MB Timestamp: 105:4757 (2024-01-05-02:00:46 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 24/1381 | L/R Keyframes: 0/1381 | Shutter 83, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0343.jpg
2024-01-05 02:00:47,25/1381,"oes: gs@ | Image size: 7.9MB Timestamp: 106:4759 (2024-01-05-02:00:47 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 25 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0355.jpg
2024-01-05 02:00:48,26/1381,"— gs@ | Image size: 7.8MB Timestamp: 107:4841 (2024-01-05-02:00:48 UTC) GPS Time: 0, PPS: 0, Quality:0 | No GPS position | Conversion Rate: 0.0 fps | Current Image: 26 / 1381 | L/R Keyframes: 0/1381 | Shutter 82, Gain 0, Gamma 1.00",E:\Pychram_project\Video-OCR\assets\figure\Frames\frame_0369.jpg
